Day,Language Classwork,Lanugage Wordly Wise,Language Spelling,Language Seatwork,Chemistry Textbook,Chemistry Worksheets,Chemistry Videos,PsySo - VIDEO,PsyS0 Summaries,Computer BFN,Computer videos,Geometry Textbook,Geometry WORKBOOK,"Geometry 1,001 Problems",Geometry BFN,Geometry VIDEOS,Emma Math
99,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,327-331 mid,Worksheet 36 pages as possible,https://youtu.be/BxUS1K7xu30,https://youtu.be/RV50AV7-Iwc,,,Unit 6 Test Review,217 mid - 221,168 - 172 mid,,319 - 328,https://youtu.be/N-EILBiYMqY,Today's Worksheets
100,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,331 mid-335,Worksheet 36 pages as possible,https://youtu.be/wzqn5PZ5rio   https://youtu.be/bftkRnTcFj8,https://youtu.be/BsRSL3duSko,,,Unit 6 Test Review,222 - 224 bot,172 mid - 175 mid,,,https://youtu.be/ST2P6Sn3cuo    and     https://youtu.be/AG2p8x2-VZM,Today's Worksheets
101,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,336-340,Worksheet 36 pages as possible,https://youtu.be/BxUS1K7xu30,,SocioText: Chapter 4 Summary (pp 95-98),,TEST 7,224 bot - 227 mid,175 mid - 177,,,https://youtu.be/rEfVQvEgJwo,Today's Worksheets
102,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,341-342 mid,Worksheet 36 pages as possible,https://youtu.be/8SRAkXMu3d0,https://youtu.be/WbBm_YLwowc,,310-313,,,,,329 - 338,https://youtu.be/EQpguitDfGU,Today's Worksheets
103,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,342 mid- 346,Worksheet 36 pages as possible,https://youtu.be/jbmOcH1fFKs,https://youtu.be/K-RvJQxqVQc,,314-317,,227 mid - 233,178 - 182,,,https://youtu.be/sllCRjiFbLs,Today's Worksheets
104,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapter 22-24,https://youtu.be/UUukBV82P9A,,318-321,Chapter Questions,,,,418 - 429,https://youtu.be/Fzaof9cX-PMM,Today's Worksheets
105,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapter 22-24,REVIEW FOR NEXT TEST,SocioText: Chapter 5 Summary (pp 115-119),323-327,,237 - 241,195 - 198,,442 - 446,https://youtu.be/Bczg2VIDfhE,Today's Worksheets
106,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Test: Chapter 22-24,REVIEW FOR TEST TOMORROW,,328-332,,242 - 247 mid,199 - 202 mid,,430 - 441,https://youtu.be/PUNHdOl-E_w,Today's Worksheets
107,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,348-352,,https://youtu.be/6Qce_dOIzmM,TEST 10,,333-335,,247 mid - 253,,,447 - 545,https://youtu.be/IcgycGSq9Us,Today's Worksheets
108,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,353-355 mid,,https://youtu.be/9h2f1Bjr0p4,https://youtu.be/_wFZ5Dbj8DA,,336-340,,,202 mid - 205,,463 - 470,https://youtu.be/IcgycGSq9Us,Today's Worksheets
109,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,355 mid-360,Worksheet 21,https://youtu.be/meZqm7HznZg,https://youtu.be/YDuBh7VbGgU,,341-345 bot,,255 - 265 mid,,,,https://youtu.be/GppOSNTi5OA,Today's Worksheets
110,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,361-363,Worksheet 31,https://youtu.be/TglqdJ2CkHA,,SocioText: Chapter 6 Summary (pp 136-141),345 bot-350,,265 mid - 270 top,211 - 213,,,https://youtu.be/hlcUtoLB13U,Today's Worksheets
111,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,364-365,Worksheet 34,https://youtu.be/KOrq5i0rXUA,https://youtu.be/BGq9zW9w3Fw,,351-355,,,214 - 217 mid,,455 - 562,https://youtu.be/8g5grYXSE_E     and      https://youtu.be/D7VGaOOQDGY,Today's Worksheets
112,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,366-371,Worksheet 35,https://youtu.be/AN4KifV12DA,https://youtu.be/06IS_X7hWWI,,356-359,,270 top - 275,217 mid - 220,,,https://youtu.be/KFV70dj5OMw,Today's Worksheets
113,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,372-376 mid,,https://youtu.be/4iWC_2slBqU,https://youtu.be/zBodqwAlW3A,,360-364,Chapter Questions,,,121 - 123,,https://youtu.be/O-cawByg2aA,Today's Worksheets
114,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,376 mid-379 mid,,https://youtu.be/lywmGCfIUIA,REVIEW FOR NEXT TEST,SocioText: Chapter 7 Summary (pp 155-159),365-371,,,,124 - 126,477 - 488,https://youtu.be/u_39J-syjB0,Today's Worksheets
115,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,379 mid-382,Worksheet 33,https://youtu.be/Ab3wfKjaWWQ,REVIEW FOR TEST TOMORROW,,372-375,,,,127 - 129,,https://youtu.be/nd46bA9DKE0,Today's Worksheets
116,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Unit 9,TEST 11,,376-380,,,,130 - 131,471 - 476,https://youtu.be/PRN5Fow7NcI,Today's Worksheets
117,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Unit 9,https://youtu.be/SlkIKCMt-Fs,,381-388 (all),,,,132 - 133,,https://youtu.be/lw70CyiEpmM,Today's Worksheets
118,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Test: Unit 9,https://youtu.be/RtxtI5IGrfw,,389-391,Chapter Questions,,,134 - 135,,https://youtu.be/4h0Dx3wopRg,Today's Worksheets
119,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,384-387 mid,,https://youtu.be/ANi709MYnWg,https://youtu.be/DeiHz5tzlws,,392-395 mid,,,,136 - 137,,https://youtu.be/FhBv7Iqt6pk,Today's Worksheets
120,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,387 mid-390,,https://youtu.be/QZfgg4MrnRw,,SocioText: Chapter 9 Summary (pp 206-210),395 mid-397,,,,138 - 140,,https://youtu.be/_PT7WpRj8ro,Today's Worksheets
121,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,391-392,,https://youtu.be/DupXDD87oHc,https://youtu.be/c8PEv5SV4sU,,398-401,Chapter Questions AND CCCS #12 - Statements and Functions - https://youtu.be/l26oaHV7D40,,,81 - 83,,https://youtu.be/midamsPqUY4   and   https://youtu.be/BxmZr2YcP4gg,Today's Worksheets
122,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,393-396 mid,,https://youtu.be/LS67vS10O5Y,https://youtu.be/0a21mndoORE,,403-406,,,,84 - 85,,https://youtu.be/ehpNB2TBF4E,Today's Worksheets
123,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,396 mid-401,,https://youtu.be/9NK2ZQnhoCI,REVIEW FOR NEXT TEST,,407-411 mid,,,,86 - 87,,https://youtu.be/bqIw3OrVVWQ,Today's Worksheets
124,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,402-404,,https://youtu.be/1uKtNlPLPZw,REVIEW FOR TEST TOMORROW,,411 mid-414,,279 - 282,229 - 233 mid,,,https://youtu.be/vdpyWeiHXmU   and   https://youtu.be/Wmwe1fmR1SM,Today's Worksheets
125,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 28-29,TEST 12,,415-422,Chapter Questions,283 - 286,233 mid - 237,,,https://youtu.be/srRuGCSXDJo,Today's Worksheets
126,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 28-29,https://youtu.be/GjuV-XdYHhA,,423-426,,,,,532 - 556,,Today's Worksheets
127,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Test: Chapters 28-29,https://youtu.be/6rts_PWIVTU,,427-432 mid,,,,,557 - 578,,Today's Worksheets
128,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,405-409 bot,,https://youtu.be/fUhPLe0NAvA   https://youtu.be/4441EyWBPt8,,SocioText: Chapter 10 Summary (pp 225-229),432 mid-435,,287 - 293 bot,243 - 245,,,https://youtu.be/eBAq_caikJ4,Today's Worksheets
129,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,409 bot-411,,https://youtu.be/7C_HsfB_6PQ,https://youtu.be/b350ljkYWrU,,436-442,Chapter Questions,,,,759 - 588,,Today's Worksheets
130,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,412-414,,,https://youtu.be/wslCc0Di978,,,Unit 7 Test Review,299 top - 301,249 - 250,,,https://youtu.be/EbiwNnyDUoM,Today's Worksheets
131,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,415-418,,https://youtu.be/8Fdt5WnYn1k,https://youtu.be/TCs_hyI15R8,,,Unit 7 Test Review,293 bot - 299 top,246 - 248,,,https://youtu.be/eBx6uqBY_Ug,Today's Worksheets
132,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,419-421,OEC 5.7,https://youtu.be/-1nJv0k8zQU   https://youtu.be/sFpFCPTDv2w,REVIEW FOR NEXT TEST,,,TEST 8,,,144 - 145,,https://youtu.be/CI-G9_bTKuw,Today's Worksheets
133,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 30-31,REVIEW FOR TEST TOMORROW,,444-447 top,CCCS #28 - Computer Networks - https://youtu.be/3QhU9jd03a0,305 - 313,,,340 - 354,https://youtu.be/p2ICeMQiDf8,Today's Worksheets
134,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Test: Chapters 30-31,TEST 13,,447 top-450,CCCS #29 - The Internet - https://youtu.be/AEaKrq3SpW8,,,,363 - 372,https://youtu.be/pzDfd8NXRXk     and   https://youtu.be/YDvUy5VYm9E,Today's Worksheets
135,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,424-427 mid,,https://youtu.be/g5wNg_dKsYY,https://youtu.be/Kqt-_ILgv5c,,451-453,CCCS #30 - The World Wide Web - https://youtu.be/guvsH5OFizE,,,141 - 143,,https://youtu.be/dDWjhRfBsKM,Today's Worksheets
136,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,427 mid-430 mid,,https://youtu.be/cHAjhM3y3ds,https://youtu.be/Yb1_4FPtzrI,,454-457,,,,146 - 147,,https://youtu.be/NhtTKhP3d6s,Today's Worksheets
137,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,430 mid-434 top,,https://youtu.be/xfGlEXWDRZE,https://youtu.be/CquRz_cceH8,,458-462,,,257 - 259,,511 - 518,https://youtu.be/PXnAKcBipKM,Today's Worksheets
138,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,434 top-438,,https://youtu.be/1GiZzCzmO5Q,,SocioText: Chapter 12 Summary (pp 274-277),463-465,CCCS #31 - Cybersecurity - https://youtu.be/bPVaOlJ6ln0,314 - 322,,,,https://youtu.be/HHt2cR1q8ks,Today's Worksheets
139,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,439-441,,https://youtu.be/DP-vWN1yXrY,https://youtu.be/7myLgdZhzjo,,466-469 bot,,,260 - 261 mid,,373 - 383,https://youtu.be/jqo3IWdQWKM,Today's Worksheets
140,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,442-444,,https://youtu.be/PciV_Wuh9V8    https://youtu.be/XmgRRmxS3is,https://youtu.be/gSddUPkVD24,,469 bot-473,CCCS #32 - Hackers - https://youtu.be/_GzE99AmAQU,,,,386 - 399,https://youtu.be/vsgrWDLEzcQ,Today's Worksheets
141,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,445-448,,https://youtu.be/x41saE2fRlo,REVIEW FOR NEXT TEST,SocioText: Chapter 11 Summary (pp 252-256),,CCCS #33 - Cryptography - https://youtu.be/jhXCTbFnK8o,,261 mid - 263,,,https://youtu.be/iWAB0aVgKbo,Today's Worksheets
142,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,449-450,,https://youtu.be/n91fiyEmT-s,REVIEW FOR TEST TOMORROW,,474-479,Chapter Questions,,,97-99,,https://youtu.be/_ihY881-JhA,Today's Worksheets
143,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 32-33,TEST 14,,481-483,,,,100-101,,https://youtu.be/9hryH94KFJAA,Today's Worksheets
144,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 32-33,https://youtu.be/kJ18whKduFo,,484-487,,,,102-103,,https://youtu.be/rpMu98yRk40,Today's Worksheets
145,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Test: Chapters 32-33,https://youtu.be/yaeiCEro0iU,,488-490,,323 - 329 top,,,,https://youtu.be/GqHWdTLL8Qw (FIRST HALF),Today's Worksheets
146,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,452-455 mid,,https://youtu.be/u4-HYwo0Gsc,https://youtu.be/eWTz3KBCxfg,,492-496,Chapter Questions,329 top - 338 top,,,,https://youtu.be/GqHWdTLL8Qw (SECOND HALF),Today's Worksheets
147,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,455 mid-459,Worksheet 18,https://youtu.be/JuWtBR-rDQk,,SocioText: Chapter 13 and 14 Summary (pp 303-308 and 332-335),497-501,,338 - 341 ,271 - 276 mid,,,https://youtu.be/VJTxv-tRKj0,Today's Worksheets
148,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,460-463 top,,https://youtu.be/SV7U4yAXL5I,https://youtu.be/pIgb-3e8CWA,,502-505,,,,,230 - 242,https://youtu.be/VJTxv-tRKj0,Today's Worksheets
149,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,463 top-466 bot,,https://youtu.be/yhNHJ7WdT8A   https://youtu.be/ZVhJ4TO8a-M ,https://youtu.be/S294zRodS_4,,506-509,Chapter Questions,,,105 - 109 mid,,https://youtu.be/uvR_4UCqxrw,Today's Worksheets
150,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,466 bot-471,,https://youtu.be/Idv2C8HBbug,https://youtu.be/hYMk3Bk08NA,,511-517 (all),,,276 mid - 280,,,https://youtu.be/r3lN_BADmPQ,Today's Worksheets
151,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,472-476,,https://youtu.be/Iwmb1p25ws4,,SocioText: Chapter 15 and 16 Summary (pp 354-357 and 376-379),518-521,Chapter Questions,,,109 mid - 111 mid,,https://youtu.be/ouNp8FtgiEE,Today's Worksheets
152,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,477-480,,https://youtu.be/8N1BxHgsoOw,REVIEW FOR NEXT TEST,SocioText: Chapter 15 and 16 Summary (pp 354-357 and 376-379),523-528 mid,,,,,243 - 264,,Today's Worksheets
153,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,481-484 bot,,https://youtu.be/NhdtqnEfa9w,REVIEW FOR TEST TOMORROW,,528 mid- 532,,,,111 mid - 113 (715),,https://youtu.be/j87gj_KH9pA    and    https://youtu.be/XdjH_EWhCZ0,Today's Worksheets
154,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,484 bot-488 mid,,https://youtu.be/sTHYF8Jh6X0,TEST 15,,533-538,,,,113 (715) - 115,,https://youtu.be/6dyWKD_JPhI,Today's Worksheets
155,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,488 mid-490,,https://youtu.be/YacsIU97OFc   https://youtu.be/S02ktLqiD8s ,https://youtu.be/8NGlENS1qgo,,539-544 mid,,,,,264-278,https://youtu.be/OFhAaL7_SRE,Today's Worksheets
156,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,491-494,,https://youtu.be/7qOFtL3VEBc,https://youtu.be/D9SWRByzDSo,,544 mid-548,,,,116 - 117 ,,https://youtu.be/O2HfAFcEqcg   and  https://youtu.be/ZVLDIVBX09k,Today's Worksheets
157,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 34-36,https://youtu.be/KriEIJ0ubh0,,549-553,Chapter Questions,,,118 - 119,,https://youtu.be/clQSL-zQJZE,Today's Worksheets
158,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 34-36,,SocioText: Chapter 19 and 20 Summary (pp 446-451 and 474-479),,Unit 8 Test Review AND CCCS #39 - Education Technology - https://youtu.be/zTi3_l5h5PQ,,,,295 - 310,https://youtu.be/BCllaARDOWI ,Today's Worksheets
159,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapters 34-36,REVIEW FOR TEST TOMORROW,SocioText: Chapter 19 and 20 Summary (pp 446-451 and 474-479),,Unit 8 Test Review AND CCCS #40 - The Future of Computers - https://youtu.be/5TNAz1HYg18Unit 8 Test Review ,343 - 351 mid,,,,https://youtu.be/HN5urPt6TlI     and     https://youtu.be/UHh7YJwws0M,Today's Worksheets
160,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Test: Chapters 34-36,TEST 16,,,TEST 9,351 mid - 360,,,,https://youtu.be/wDJrOWMeYOc,Today's Worksheets
,,,Write spelling AND spell words aloud from memory,,,,,,,,,,,149 - 151,,https://youtu.be/GU5tYNDOnkw,